registration_number,registry_name,foi_name,match_score,postcode_areas,postcode_count,cities,geographic_reach
PF000924,34 Camphill Avenue Owners Association,34 Camphill Avenue Owners Association,100.0,G41,1,Glasgow,local
PF000622,91BC Property Services Limited,91BC Property Services Limited,100.0,"EH11,EH12,EH14,EH39,EH7,FK7,FK9,G1,G11,G12,G13,G14,G2,G20,G21,G23,G3,G31,G32,G33,G4,G40,G41,G42,G43,G44,G51,G63,G64,G66,G69,G72,G73,G74,G75,G76,G77,G81,G82,G83,G84,KA10,KA30,KY12,ML1,ML11,ML12,ML2,ML3,ML5,ML6,PA1,PA11,PA13,PA2,PA23,PA3,PA4,PA6,PH7",60,,national
PF000723,A W Middleton,A W Middleton,100.0,EH55,1,,local
PF000530,Abacus Property Factors Ltd,Abacus Property Factors Ltd,100.0,"EH21,EH26,KY12,KY4",4,,local
PF001065,Abba Land and Property Limited,Abba Land and Property Limited,100.0,"KA1,KY15,PA1",3,,local
PF000534,Abbey Construction (Scotland) Ltd,Abbey Construction (Scotland) Ltd,100.0,G74,1,,local
PF000256,Abbey Forth Property Management Limited,Abbey Forth Property Management Limited,100.0,"EH3,FK5,G73,KY1,KY11,KY12,KY13,KY15,KY4",9,,regional
PF000342,ABE Factors Ltd,ABE Factors Ltd,100.0,"G1,G32",2,,local
PF000255,Aberdeen City Council,Aberdeen City Council,100.0,"AB10,AB11,AB12,AB15,AB16,AB24,AB25",7,,regional
PF000270,Aberdeen Property Leasing Limited,Aberdeen Property Leasing Limited,100.0,"AB10,AB11,AB14,AB15,AB21,AB24,AB25,AB31,AB32,AB52",10,Aberdeen,regional
PF000371,Aberdeenshire Council,Aberdeenshire Council,100.0,"AB42,AB51",2,,local
PF000206,Abertay Housing Association Ltd,Abertay Housing Association Ltd,100.0,"DD0,DD1,DD2,DD3,DD37HS,DD4,DD8",7,"Dundee,Forfar",regional
PF000861,AboveBoard Homes Ltd,AboveBoard Homes Ltd,100.0,"EH15,EH16,EH3,EH4,EH53,EH6,EH8",7,,regional
PF000943,Acre Lettings Ltd,Acre Lettings Ltd,100.0,KA30,1,,local
PF001092,Afton Builders Limited,Afton Builders Limited,100.0,KA18,1,LUGAR,local
PF000496,Ainsley Smith & Co Ltd,Ainsley Smith & Co Ltd,100.0,PA34,1,"Isle of Kerrera,Oban",local
PF000875,Alan Gebbie,Alan Gebbie,100.0,KA10,1,,local
PF000670,Alderglen Factor Association,Alderglen Factor Association,100.0,G61,1,Bearsden,local
PF000521,Alison Bruce Property Management Ltd,Alison Bruce Property Management Ltd,100.0,"DD1,DD2,DD4,PH2",4,,local
PF000181,Almond Housing Association Limited,Almond Housing Association Limited,100.0,EH54,1,Livingston,local
PF000346,ANCHO Ltd,ANCHO Ltd,100.0,"KA11,KA12,KA13",3,,local
PF000129,Angus Housing Association Limited,Angus Housing Association Limited,100.0,"DD10,DD11,DD3,DD4,DD5,DD7,DD8,DD9",8,"Arbroath,Auchmithie,Brechin,Carnoustie,Dundee,Forfar,Kirriemuir,Letham,Montrose",regional
