registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status
PF000924,34 Camphill Avenue Owners Association,34 Camphill Avenue Owners Association,Other Legal Status,"1/2 34 Camphill Avenue, Glasgow, G41 3AZ",Glasgow,G41 3AZ,,8,Registered
PF000567,4C Scotland Limited,4C Scotland Limited,Company,"29 Lonmay Place, Panorama Business Village, Glasgow, G33 4ER",Panorama Business Village,G33 4ER,,0,Registration expired on 24/05/2017
PF001067,7 Days Property,7 Days Property,Partnership,"157 Kilmarnock Road, Glasgow, G41 3JE",Kilmarnock,G41 3JE,,72,Registered
PF000622,91BC Property Services Limited,91BC Property Services Limited,Company,"Garscadden House, 3 Dalsetter Crescent, Dalsetter Crescent, Glasgow, G15 8TG",Garscadden House,G15 8TG,https://www.91bc.uk,4505,Registered
PF000147,A & K Property Management Services,A & K Property Management Services,Company,"240 Wallace Street, Kingston Quay, Glasgow, G5 8AS",Kingston Quay,G5 8AS,,0,Registration expired on 16/11/2015
PF000723,A W Middleton,Longford Property Management,Partnership,"Longford Farm, West Calder, EH55 8NS",Longford Farm,EH55 8NS,,20,Registered
PF000776,A&H Developments (Killin) Ltd,A&H Developments (Killin) Ltd,Company,"7 Lochay Road, Killin, FK21 8TB",Killin,FK21 8TB,,0,Registration expired on 13/07/2021
PF000549,A+ Property Management,A+ Property Management,Sole Trader,"229 Portobello High Street, Edinburgh, EH15 2AN",Edinburgh,EH15 2AN,,0,Registration expired on 27/04/2018
PF000530,Abacus Property Factors Ltd,Abacus Property Factors Ltd,Company,"11 South Street, Dalkeith, EH22 1AH",Dalkeith,EH22 1AH,,98,Registered
PF001065,Abba Land and Property Limited,Abba Land and Property Limited,Company,"15 Newton Terrace, Charing Cross, Glasgow, G3 7PJ",Charing Cross,G3 7PJ,,17,Registered
PF000534,Abbey Construction (Scotland) Ltd,Abbey Construction (Scotland) Ltd,Company,"8 Newlands Place, East Kilbride, Glasgow, G74 1AE",East Kilbride,G74 1AE,https://www.aconstruction.co.uk,15,Registered
PF000256,Abbey Forth Property Management Limited,Abbey Forth Property Management Limited,Company,"Laich House, 5 Castle Court, Carnegie Campus, Dunfermline, KY11 8PB",Laich House,KY11 8PB,https://www.abbeyforth.co.uk,67,Registered
PF000342,ABE Factors Ltd,ABE Factors Ltd,Company,"Block 3 Unit 10, Tollcross Industrial Estate, Causewayside Street, Glasgow, G32 8LP",Tollcross Industrial Estate,G32 8LP,,73,Registered
PF000255,Aberdeen City Council,Aberdeen City Council,Local Authority,"Early Intervention and Community Empowerment, Marischal College, Business Hub 11, Broad Street, Aberdeen, AB10 1AB",Broad Street,AB10 1AB,,3155,Registered
PF000270,Aberdeen Property Leasing Limited,Aberdeen Property Leasing Limited,Company,"Rosemount House, 138-140 Rosemount Place, Aberdeen, AB25 2YU",Rosemount House,AB25 2YU,,0,Registration expired on 30/06/2025
PF000371,Aberdeenshire Council,Aberdeenshire Council,Local Authority,"Woodhill House, West Burn Road, Aberdeen, AB16 5GB",Woodhill House,AB16 5GB,https://www.aberdeenshire.gov.uk,6,Registered
PF000130,Aberdein Considine,Aberdein Considine,Partnership,"5-9 Bon Accord Crescent, Aberdeen, AB11 6DN",Aberdeen,AB11 6DN,,0,Registration expired on 25/04/2022
PF000206,Abertay Housing Association Ltd,Abertay Housing Association Ltd,Registered Social Landlord,"147 Fintry Drive, Dundee, DD4 9HE",Dundee,DD4 9HE,https://www.abertayha.co.uk,3993,Registered
PF001129,Abiconn Ltd,Abiconn Ltd,Company,"94 Duke Street, Glasgow, G4 0UW",Glasgow,G4 0UW,,0,Registered
PF000861,AboveBoard Homes Ltd,AboveBoard,Company,"5 South Charlotte Street, Edinburgh, EH2 4AN",Edinburgh,EH2 4AN,https://www.aboveboard.homes,433,Registered
PF000607,ABZ Property Investment Leasing Ltd,ABZ Property Investment Leasing Ltd,Company,"30 Earlspark Drive, Bieldside, Aberdeen, AB15 9AH",Bieldside,AB15 9AH,,0,Registration expired on 09/07/2018
PF000943,Acre Lettings Ltd,Acre Lettings Ltd,Company,"6 Stanlane Place, Largs, KA30 8DA",Largs,KA30 8DA,,39,Registered
PF000516,Actual Property,Actual Property,Sole Trader,"33a Durham Road, Edinburgh, EH15 1PB",Edinburgh,EH15 1PB,,0,Registration expired on 23/01/2017
PF001092,Afton Builders Limited,Afton Builders Limited,Company,"Bank Chambers, The Square, Cumnock, Cumnock, KA18 1AT",Bank Chambers,KA18 1AT,,19,Registered
PF001091,AGM Property Management,AGM Property Management,Company,"7 Craigmuir Drive, Bishopton, PA7 5GD",Bishopton,PA7 5GD,https://Agmpm.co.uk,0,Registered
PF000496,Ainsley Smith & Co Ltd,Ainsley Smith & Co Ltd,Company,"21 Argyll Square, Oban, PA34 4AT",Oban,PA34 4AT,https://www.ainsleysmith.co.uk,5,Registered
PF001013,AJM Property Management Services Ltd,AJM Property Management Services Ltd,Company,"Suite 10-12 Mezzanine Floor, Royal Liver Building, Liverpool, L3 1HU",Royal Liver Building,L3 1HU,,0,Registered
