registration_number,name,status
PF000924,34 Camphill Avenue Owners Association,Active
PF000567,4C Scotland Limited,Expired
PF001067,7 Days Property,Active
PF000622,91BC Property Services Limited,Active
PF000147,A & K Property Management Services,Expired
PF000723,A W Middleton,Active
PF000776,A&H Developments (Killin) Ltd,Expired
PF000549,A+ Property Management,Expired
PF000530,Abacus Property Factors Ltd,Active
PF001065,Abba Land and Property Limited,Active
PF000534,Abbey Construction (Scotland) Ltd,Active
PF000256,Abbey Forth Property Management Limited,Active
PF000342,ABE Factors Ltd,Active
PF000255,Aberdeen City Council,Active
PF000270,Aberdeen Property Leasing Limited,Expired
PF000371,Aberdeenshire Council,Active
PF000130,Aberdein Considine,Expired
PF000206,Abertay Housing Association Ltd,Active
PF001129,Abiconn Ltd,Active
PF000861,AboveBoard Homes Ltd,Active
PF000607,ABZ Property Investment Leasing Ltd,Expired
PF000943,Acre Lettings Ltd,Active
PF000516,Actual Property,Expired
PF001092,Afton Builders Limited,Active
PF001091,AGM Property Management,Active
PF000496,Ainsley Smith & Co Ltd,Active
PF001013,AJM Property Management Services Ltd,Active
PF000983,ALAN A HAXTON,Active
PF000672,Alan A Haxton FRICS,Expired
PF000875,Alan Gebbie (AFS (Ayrshire Factoring Services)),Active
PF000477,Alan Sneddon,Active
PF000998,Alanna Properties Ltd,Active
PF000596,Albyn Enterprises Ltd,Expired
PF000182,Albyn Housing Society Limited,Expired
PF000670,Alderglen Factor Association,Active
PF001133,Alex Mitchell Factoring,Active
PF000521,Alison Bruce Property Management Ltd,Active
PF000470,Allied Souter & Jaffrey Limited,Expired
PF000134,Allsop Letting & Management,Expired
PF000181,Almond Housing Association Limited,Active
PF000661,Amfactoring Limited,Expired
PF000346,ANCHO Ltd,Active
PF000325,Anderson Banks,Expired
PF000380,Angus Council Housing Division,Expired
PF001064,Angus Glen Properties Ltd,Active
PF000129,Angus Housing Association Limited,Active
PF000341,Annan Associates Limited,Expired
PF001125,Annan Property Factors Limited,Active
PF000392,Anne Gordon,Active
PF000377,Antonine Housing Association,Expired
PF000383,Apex Property Factor Limited,Expired
PF000709,Aquila Management Services Limited,Active
PF001082,Aquila Management Services Property Factoring Ltd,Active
PF000513,Archerfield House Hotel Management Limited,Active
PF000708,Arden Property Management LLP,Expired
PF000168,Ardenglen Housing Association Ltd,Active
PF000302,Argyll Community Housing Association Limited,Active
PF001070,Argyll Letting Services Limited,Active
PF000408,Arklet Housing Association Ltd,Expired
PF000926,ASC Asset Management (EK) Ltd,Active
PF000254,Aspect Residential Property Management Ltd,Expired
PF000745,ATB Accountancy Services Limited,Expired
PF001120,Athene Associates,Active
PF000316,Atholls Ltd,Expired
PF000189,Atrium Initiatives Limited,Active
PF001144,Augusto Barale,Active
PF000978,Avongreen Abodes Ltd,Active
PF000990,AWM CONSTRUCTION (SCOTLAND) LTD (AWM CONSTRUCTION (SCOTLAND) LTD),Active
PF000260,Ayrshire Housing,Active
PF000664,Ayrshire Letting and Sales Limited,Expired
PF000141,B & B Estate Agents,Expired
PF000849,B.H.C Limited (BHC LTD),Expired
PF000218,BA Professional Advisory Services Limited,Expired
PF000414,Bailey Park Productions Limited,Expired
PF000949,Balmore Estates (Scotland) Ltd (Balmore Property Management),Expired
PF000969,Barrhead Housing Association Limited,Active
PF000435,Bastion Property Management Ltd,Active
PF000311,Be Factored Ltd,Expired
PF000312,Be Maintained,Expired
PF000845,Beacon Brooke Limited,Expired
PF001149,Beechside Properties Ltd,Active
PF000626,Bell Ingram LLP,Active
PF000266,Bellsmyre Housing Association,Expired
PF000439,Belvoir Lettings Inverness,Expired
PF000539,Belvoir Lettings(Moray) Ltd,Expired
PF000721,BeneFactors Property Management Limited,Active
PF000146,Bield Housing & Care,Active
PF000446,Black Hay,Expired
PF000422,Blackadders LLP,Expired
PF000298,Blackwood Homes & Care,Expired
PF000276,Blairtummock Housing Association Limited,Active
PF000257,Blochairn Housing Association Ltd,Active
PF000441,Block Property Management Ltd,Active
PF001101,Blocsphere Property Management,Active
PF000869,Blosshome Property Management Ltd,Active
PF000449,Blythswood Property Management Ltd,Active
PF000714,Bondsave Limited (Braemore Sales & Lettings),Expired
PF000244,Boomerang Factoring,Expired
PF000720,Bowbridge Properties (UK) Limited,Expired
