factor_registration_number,factor_name,google_place_id,google_name,rating,review_count,address,phone,website,is_verified,google_maps_url,latitude,longitude,location_number,business_status,business_types
PF001067,7 Days Property,ChIJ5Wr1-v5HiEgRp3ERDx9I9j8,7days.property,5,2,"157 Kilmarnock Rd, Shawlands, Glasgow G41 3JE, UK",0800 321 3841,https://7days.property/,True,https://maps.google.com/?cid=4608950566894268839,55.8271068,-4.2845675,1,OPERATIONAL,"establishment, point_of_interest"
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,91BC Property Services,3.4,131,"Garscadden House, 3 Dalsetter Cres, Drumchapel, Glasgow G15 8TG, UK",0800 689 0675,https://91bc.uk/,True,https://maps.google.com/?cid=13617495529038555574,55.9083133,-4.3687411,1,OPERATIONAL,"establishment, point_of_interest"
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,East Lothian Property Management,4.6,33,"Aberlady, Longniddry EH32 0SB, UK",01875 870425,http://www.elpm.co.uk/,True,https://maps.google.com/?cid=13536890001048790267,56.010796,-2.86096,2,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,Abacus Property Factors,4,7,"11 South St, Dalkeith EH22 1AH, UK",0131 210 0270,http://www.abacuspropertyfactors.com/,True,https://maps.google.com/?cid=3859007643367501223,55.8939627,-3.0696988,1,OPERATIONAL,"establishment, point_of_interest"
PF001065,Abba Land and Property Limited,ChIJpUB2qZRBiEgRJLig8ItGSNw,AB Property Consultants & Estate Agents,4.7,296,"211 Glasgow Rd, Baillieston, Glasgow G69 6EZ, UK",0141 773 4000,http://www.abpropertyconsultants.co.uk/,True,https://maps.google.com/?cid=15873014453518776356,55.8497335,-4.1320768,3,OPERATIONAL,"establishment, point_of_interest, real_estate_agency"
PF000534,Abbey Construction (Scotland) Ltd,ChIJ-z3p1k5JiEgR7LaDZYnJkvQ,Abbey Services (Scotland) Limited,4.8,52,"Abbey Services Scotland Limited, 35 Underwood Rd, Paisley PA3 1TQ, UK",07989 419920,https://www.abbeyservices.co.uk/,True,https://maps.google.com/?cid=17623369883805005548,55.8480499,-4.433885,1,OPERATIONAL,"electrician, establishment, plumber, point_of_interest, roofing_contractor"
PF000534,Abbey Construction (Scotland) Ltd,ChIJ3zuD7I1FiEgRPyYpe10OYgI,Abbey services Scotland limited,,0,"Glasgow G2 3NX, UK",0141 887 9411,http://www.abbeyservices.co.uk/,True,https://maps.google.com/?cid=171715530454541887,55.864237,-4.251806,2,OPERATIONAL,"establishment, point_of_interest"
PF000256,Abbey Forth Property Management Limited,ChIJEdt0qBvSh0gRrK2dw8uCV80,Abbey Forth Property Management Ltd,3.1,32,"Laich House, 5 Castle Ct, Carnegie Campus, Dunfermline KY11 8PB, UK",01383 737748,http://abbeyforth.co.uk/,True,https://maps.google.com/?cid=14796438912420916652,56.04720099999999,-3.4175106,1,OPERATIONAL,"establishment, point_of_interest"
PF000342,ABE Factors Ltd,ChIJQwn8lp1GiEgRK8fgYOGYB5o,Bibby Factors Scotland Ltd,,0,"9 George Square, Glasgow G2 1QQ, UK",0808 501 6464,https://www.bibbyfinancialservices.com/,True,https://maps.google.com/?cid=11099007900438284075,55.86058999999999,-4.2507682,1,OPERATIONAL,"establishment, finance, point_of_interest"
PF000342,ABE Factors Ltd,ChIJCdYN5AB6HK8ROUIbeltAFsM,Factors Direct,5,5,"34 Gibson St, Glasgow G12 8NX, UK",0141 739 4439,https://factorsdirect.co.uk/,True,https://maps.google.com/?cid=14057494048518390329,55.8725868,-4.2824731,2,OPERATIONAL,"establishment, point_of_interest"
