factor_registration_number,factor_name,google_place_id,location_number,author_name,review_rating,review_text,review_time,review_relative_time
PF001067,7 Days Property,ChIJ5Wr1-v5HiEgRp3ERDx9I9j8,1,CRAIG KELLY,5,A pleasant and helpful service provider. In this sector that's a rarity these days. Would highly recommend 5☆!,1758207888,3 months ago
PF001067,7 Days Property,ChIJ5Wr1-v5HiEgRp3ERDx9I9j8,1,katie pirie,5,"great company to work with, helpful and friendly staff! would highly recommend!!",1755167894,4 months ago
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,1,Nicola MacKinnon,1,"One star is too generous for this “company”. Each job takes an incredible amount of time to get started, if it ever gets started. It will have to become your part time job to chase them, frequently have to explain jobs/requests to them on their own overpriced portal or you’ll be doing their work for them by contacting contractors directly to get updates, invoices, reports of works, resolve poor workmanship due to lack of direction by 91bc. For every job being quoted you’ll have to be on site as contractors consistently have no idea why they are there or what they are quoting for, like us you’ll receive quotes for things and the wrong work will be undertaken.  Property Managers are on a revolving door, you won’t ever be told your property manager has changed. Communication is poor, fragmented and incredibly frustrating. They frequently blame appointed contractors for issues. They have even given out my personal details to contractors without permission, which is a breach of data protection. Every interaction I am somehow shocked at how inept they are.",1760357817,2 months ago
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,1,Claire,5,"Roofers Alex and Jamie from 91bc are like a breath of fresh air. I’ve had lots of problems with a leaking roof for years and various attempts have been made to fix it have not been successful. Alex and Jamie visited this morning, very polite and friendly, spent a lot of time inspected the roof space, repaired what they could then informed me of their assessment and intended repairs. With the heavy rain it is too dangerous to go out in the roof today so are planning to get a scaffold tower and detailed the repairs they will carry out next week (many slates needing replaced; glass in skylight needing replaced)I am so confident in what they reported and plan to do.I am delighted-at last 2 guys who know exactly what they are talking about and didn’t make me feel like I was exaggerating the problem. Thank you very Alex and Jamie, you were so polite and very helpful.Claire C",1765801878,3 weeks ago
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,1,Daniel Behrend,1,"I owned a property in Edinburgh that I let. 91BC were the factors. My very good tenants reported a problem which I immediately reported to 91BC. During the next 6 months they lied to me(their client) they lied to my property agent, they lied to the tenants. Some work needed doing and 91BC did everything to avoid doing it. My tenants wanted to buy the property but,understandably wanted the situation resolved. So, to ensure I could sell my property I had to reduce the price of the property by £720 in order for the tenants/purchasers to agree to buy. £720 was a quote for doing the work that 91BC should have done. So, 91BC, pay me what you owe me. Next stop, Scottish Ombudsman. In the meantime, if you are thinking of renting or buying a property that is managed by this shambles, don’t. Ps! Almost forgot. 91BC sent my final invoice(which I paid) to the new owners claiming they owner it! Not only was this totally wrong, 91BC broke every Data Protection Act going! They revealed my mother’s address! She’s livid.",1755196956,4 months ago
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,1,Angela O sullivan,5,"I have today needed the services of roofers in my property in Dennistoun- and was delighted with the two roofers who attended- Alex and Jamie . Both were there before I arrived, absolutely courteous and helpful- and true tradesmen . Highly recommended.",1761132629,2 months ago
PF000622,91BC Property Services Limited,ChIJsR3DbZxPiEgRtinQ-ggQ-7w,1,Hayleigh Meg,1,"Absolutely appalling excuse of a factoring service. Massively inflated bills, threats of removal of owners belongings and consistent made up jobs to try and fund themselves money. When they're not pilfering their clients with monthly changing fees, and showing their embarrassing ineptitude such as not knowing what parts of a Street belong to which property ... they will tack on ridiculous commission and additional fees to cover their back of house changes and web updates. Avoid at all cost.",1761860930,2 months ago
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,2,Hanis Firuz,5,"I was very lucky to have been a tenant with ELPM for almost four years and highly recommend them. They are by far the best letting agency I’ve been with in Edinburgh! Communication has always been clear, all works done quickly and just such a joy to deal with them.",1751029918,6 months ago
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,2,Lorraine Mc Donnell,5,ELPM do absolutely everything to an exceptionally high standard!  Time and time again they have gone above and beyond!  Renting a house from ELPM is like moving into a property that is being lived in for the very first time!  An all round wonderful experience!!  Highly recommend!!!,1748529338,7 months ago
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,2,Charles Holtsclaw,1,"Dishonest, disorganised, and spiteful people. Talk to three people, get three different answers, all of which are unreliable. Long story short, verbal agreements were disregarded after move out, leading to a deposit dispute. They are purposely waiting until each deadline of the dispute resolution just to cause inconvenience.

Further, they changed the flat from furnished to unfurnished after we moved out and they're trying to recover their own removal cost from our deposit by claiming things of ours were the issue (literally, coats in the hall and food in the refrigerator, and again, previously discussed). By agreement, I left well over a thousand pounds worth of furniture for the landlord. They were happy to receive it, but want to nickel and dime me over nonsense.

If you're unlucky enough to get stuck with this agency, do not trust them at all. Get absolutely everything in writing. Demand it. Don't trust their smiles and their ""Don't worry about it, it's fine."" They will conveniently forget about it when it comes time to get your money back.",1745587078,8 months ago
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,2,Deborah Jackson,1,"Very disappointing, agreed to rent a cottage long term, after living in it for a month more and more unsanitary and shoddy cover-ups became obvious. The director of the company handling the property came to take a look and was rude, loud and clearly annoyed that I had dared to point out the problems. I have never experienced such unpleasant behaviour from a letting agent before and can only warn prospective clients to be aware of this. Definitely not to be recommended.",1742234511,9 months ago
PF000723,A W Middleton,ChIJB0RxJsuoh0gR--QMBLyx3Ls,2,FD,5,"We have recently rented a property with ELPM and can highly recommend! One of the best experiences we have had with a rental agency. From finding our rental property to moving in, we have found them to be extremely helpful and informative. Fantastic communication and quick to respond to any issues, we feel very well supported as tenants. Special thanks to Emma who has been amazing throughout the process.",1682610322,2 years ago
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,1,melanie wood,5,"My partner and I own a property in the same block as the person who has previously slated Abacus, as as our late queen said, recollections may vary, we have nothing but praise for Abacus, having had ten years of the previous useless Factor, Abacus have been a breath of fresh air, proactive, positive and getting things done. I would suggest that the person who has sold their property to pay maintenance bills, A) you were aware of shared expenses when you bought the property, if not, speak to your solicitor or read your deeds. B) everyone else who owns a property in this block has paid their share, no question or blame C) if a property is bought with a heavy discount to allow for the required maintenance,  one would expect  the said owners cannot complain when the bill is due.
Abacus have managed our property professionally and always maintained excellent communication with the owners, we certainly have no complaints and know that this is the opinion of the majority of the owners.",1750350121,6 months ago
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,1,Carolyn Lawes,1,"I have never known such a horrible person as the person who works in this unprofessional organisation.. I’ve had to sell my home because of money owed, because of my financial circumstances, and four days before I move she’s demanded even more money for a job, I didn’t even vote for, and won’t see completed . Luckily she’s resigned from the job, because other owners are taking her to a tribunal, what does that say about the firm ……",1748954403,7 months ago
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,1,Lynn Gilmore,5,"Jackie and her team provide a fantastic service.  We are based in a different country and everything runs smoothly and efficiently.  She is very proactive in ensuring the building is kept in a safe and pleasant condition.  With our previous property company I would have had at least one issue every month, that was never easily resolved.  Keep up the good work Abacus.",1620730281,4 years ago
PF000530,Abacus Property Factors Ltd,ChIJP6o3umG_h0gRp-1veAHzjTU,1,Abbie Simpson,2,"We used for residential cleaning services. People are really kind and lovely, but regularly want to reschedule, invoiced for more money and time than what was agreed, cleans were not of a good standard and unfortunately when kindly ending our agreement we did not get a response which was a shame.",1732114162,a year ago
