registration_number,name,trading_name,trading_type,address,city,postcode,website,property_count,status,tribunal_total_cases,tribunal_negative_outcomes,tribunal_positive_outcomes,tribunal_neutral_outcomes,tribunal_pfeo_issued,tribunal_pfeo_proposed,tribunal_pfeo_resolved,tribunal_pfeo_unresolved,tribunal_pfeo_pending,tribunal_complied,tribunal_failure_to_comply,tribunal_dismissed,tribunal_rejected,tribunal_withdrawn,tribunal_other_outcomes,tribunal_upper_tribunal_appeals,tribunal_section_1_violations,tribunal_section_2_violations,tribunal_section_3_violations,tribunal_section_4_violations,tribunal_section_5_violations,tribunal_section_6_violations,tribunal_section_7_violations,tribunal_pf_duty_violations,tribunal_earliest_case,tribunal_latest_case,tribunal_case_refs
PF000924,34 Camphill Avenue Owners Association,34 Camphill Avenue Owners Association,Other Legal Status,"1/2 34 Camphill Avenue, Glasgow, G41 3AZ",Glasgow,G41 3AZ,,8,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000567,4C Scotland Limited,4C Scotland Limited,Company,"29 Lonmay Place, Panorama Business Village, Glasgow, G33 4ER",Panorama Business Village,G33 4ER,,0,Registration expired on 24/05/2017,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001067,7 Days Property,7 Days Property,Partnership,"157 Kilmarnock Road, Glasgow, G41 3JE",Kilmarnock,G41 3JE,,72,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000622,91BC Property Services Limited,91BC Property Services Limited,Company,"Garscadden House, 3 Dalsetter Crescent, Dalsetter Crescent, Glasgow, G15 8TG",Garscadden House,G15 8TG,https://www.91bc.uk,4505,Registered,5,2,3,0,0,1,1,1,1,1,1,1,1,0,0,0,3,3,2,1,2,2,3,3,2019-05-15,2025-08-26,FTS/HPC/PF/25/0916 | FTS/HPC/PF/24/1260 | FTS/HPC/PF/24/2750 | FTS/HPC/PF/24/2751 | FTS/HPC/PF/24/2752 | FTS/HPC/PF/23/4648 | FTS/HPC/PF/23/4649 | FTS/HPC/PF/24/0668 | FTS/HPC/PF/19/0553
PF000147,A & K Property Management Services,A & K Property Management Services,Company,"240 Wallace Street, Kingston Quay, Glasgow, G5 8AS",Kingston Quay,G5 8AS,,0,Registration expired on 16/11/2015,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000723,A W Middleton,Longford Property Management,Partnership,"Longford Farm, West Calder, EH55 8NS",Longford Farm,EH55 8NS,,20,Registered,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-08-19,2022-08-19,FTS/HPC/LM/19/3717 | FTS/HPC/LM/20/0334 | FTS/HPC/LM/20/0283 | FTS/HPC/LM/22/2063 | FTS/HPC/LM/20/0456
PF000776,A&H Developments (Killin) Ltd,A&H Developments (Killin) Ltd,Company,"7 Lochay Road, Killin, FK21 8TB",Killin,FK21 8TB,,0,Registration expired on 13/07/2021,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF000549,A+ Property Management,A+ Property Management,Sole Trader,"229 Portobello High Street, Edinburgh, EH15 2AN",Edinburgh,EH15 2AN,,0,Registration expired on 27/04/2018,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,2021-08-12,2021-08-12,FTS/HPC/PF/21/0629
PF000530,Abacus Property Factors Ltd,Abacus Property Factors Ltd,Company,"11 South Street, Dalkeith, EH22 1AH",Dalkeith,EH22 1AH,,98,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
PF001065,Abba Land and Property Limited,Abba Land and Property Limited,Company,"15 Newton Terrace, Charing Cross, Glasgow, G3 7PJ",Charing Cross,G3 7PJ,,17,Registered,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
