id,case_reference,fee_type,amount,period,vat,quote,notes,is_disputed,tribunal_finding
1,FTS/HPC/PF/24/1647,management_fee,150.0,annual,unknown,Dr Snow estimated that the Factor’s management fee amounted to about £150.00 per year.,management fee,0,
2,FTS/HPC/PF/24/5520,admin_fee,114.0,one_off,unknown,The Respondent has charged the Applicant £114 as an administration fee for liaising with his solicitor on the sale of the property.,for solicitor liaison,1,"The Tribunal is unable to consider whether the fees and charges imposed on the Applicant were justified, as he has not sought to rely on any sections of the Code that pertain to these matters."
3,FTS/HPC/PF/24/5520,other,150.0,one_off,unknown,"The Respondent has charged the Applicant £150 for work which the Applicant disputes liability for, as he was in the process of moving out of the property.",work disputed,1,"The Tribunal is unable to consider whether the fees and charges imposed on the Applicant were justified, as he has not sought to rely on any sections of the Code that pertain to these matters."
4,FTS/HPC/PF/19/2307,management_fee,700.0,one_off,unknown,The Tribunal considered that £700.00 is a reasonable award for this part of the claim.,refund of factoring fees,0,
5,FTS/HPC/PF/24/1556,management_fee,60.8,quarterly,unknown,from £60.80 inc VAT per quarter,Original fee,1,The Tribunal considered that no notice had been provided to the Applicant and that the Respondent had failed to comply with the provisions of its WSS which required any increase above inflation to be communicated before any increase took effect.
6,FTS/HPC/PF/24/1556,management_fee,83.05,quarterly,unknown,to £83.05 inc VAT.,Increased Fee,1,The Tribunal considered that no notice had been provided to the Applicant and that the Respondent had failed to comply with the provisions of its WSS which required any increase above inflation to be communicated before any increase took effect.
7,FTS/HPC/PF/24/2535,other,5.0,annual,unknown,There would be a small annual charge,PR24 fee,0,
8,FTS/HPC/PF/24/2534,other,6.0,annual,unknown,annual charge of £6 via the Newsletter of 5 February 2020,PR24 Service,1,
9,FTS/HPC/PF/24/1023,factoring_fees,1000.0,annual,unknown,Mr Elliott was paying £1000.00 per year for factoring charges,not disputed,0,
10,FTS/HPC/LM/24/1787,management_fee,,,unknown,The routine charges are for insurance and the management fee.,,0,
11,FTS/HPC/LM/24/1787,insurance_premium,,,unknown,The routine charges are for insurance and the management fee.,,0,
12,FTS/HPC/PF/22/3435,management_fee,127.68,annual,unknown,The Applicant was paying an annual management fee of £127.68 + VAT.,Annual management fee,0,
13,FTS/HPC/PF/22/3435,other,680.0,one_off,unknown,The Applicant disputed a charge of £680.00 for a roof repair that was not instructed by Trinity Factors.,roof repair,1,
14,FTS/HPC/PF/23/3768,management_fee,,,unknown,repay 50% of the management fee,2021-2023 fees,0,
15,FTS/HPC/PF/23/4430,management_fee,131.0,annual,unknown,the management fee per property is £131 per annum.,likely inaccurate,1,The whole of the management fee for the period February 2022 to December 2023 should be repaid.
16,FTS/HPC/PF/23/4430,management_fee,40.0,quarterly,unknown,the management fee was roughly £40 per quarter,likely inaccurate,0,
17,FTS/HPC/PF/23/4430,major_works,109.0,one_off,unknown,the cost of the report would be £109 per owner.,report from 22 August 2022,0,
18,FTS/HPC/PF/23/1217,management_fee,47.0,quarterly,unknown,He queried what was a core service and what was a secondary service. He said he was being charged £92.00 per quarter for the concierge and £47.00 for the Factor and £40.00 for buildings insurance.,2023 fee,1,
19,FTS/HPC/PF/23/1217,insurance_premium,40.0,quarterly,unknown,He queried what was a core service and what was a secondary service. He said he was being charged £92.00 per quarter for the concierge and £47.00 for the Factor and £40.00 for buildings insurance.,2023 fee,1,
20,FTS/HPC/PF/23/1217,other,92.0,quarterly,unknown,He queried what was a core service and what was a secondary service. He said he was being charged £92.00 per quarter for the concierge and £47.00 for the Factor and £40.00 for buildings insurance.,2023 fee,1,
21,FTS/HPC/LM/23/3665,management_fee,,,unknown,pay to the Applicant one half of the management fee,not specified amount,0,
22,FTS/HPC/PF/23/3699,management_fee,113.28,quarterly,unknown,"The Homeowner has paid management fees to the Property Factor for 2021 of £28.32 per quarter,",2021 fee,1,"The Tribunal decided it was fair to refund the management fee the Homeowner had paid for 2021, 2023 and 2024."
23,FTS/HPC/PF/23/3699,management_fee,116.92,quarterly,unknown,"2022 of £29.23 per quarter,",2022 fee,1,"The Tribunal decided it was fair to refund the management fee the Homeowner had paid for 2021, 2023 and 2024 and to refund half of the fee from 2022"
24,FTS/HPC/PF/23/3699,management_fee,139.4,quarterly,unknown,2023 of £31.57 per quarter,2023 fee,1,"The Tribunal decided it was fair to refund the management fee the Homeowner had paid for 2021, 2023 and 2024."
25,FTS/HPC/PF/23/3699,management_fee,34.85,quarterly,unknown,and 2023 onwards at £34.85 per quarter.,2023 onwards fee,1,"The Tribunal decided it was fair to refund the management fee the Homeowner had paid for 2021, 2023 and 2024."
26,FTS/HPC/LM/23/1712,management_fee,42.4,annual,unknown,The Applicant’s annual management fee is £42.40 plus VAT.,Annual management fee,0,
27,FTS/HPC/PF/23/2549,other,100.0,one_off,unknown,The Homeowner felt this was unreasonable and that this service ought to have been provided as part of the duties of the Property Factor which he paid for.,Apportionment fee,1,The tribunal determined the fee was not unreasonable and in line with their written statement of services and schedule of fees.
28,FTS/HPC/PF/23/0006+0367,management_fee,480.0,annual,unknown,The factor charges £480 per annum...,2023 fee,0,
29,FTS/HPC/PF/23/0006+0367,other,624.96,,unknown,sinking fund contribution,split between owners,1,
30,FTS/HPC/PF/23/0006+0367,other,1008.0,,unknown,contingency Castle Grange properly fund,split between the owners,1,
31,FTS/HPC/PF/23/0006+0367,other,5.0,,unknown,professional fees,,0,
32,FTS/HPC/PF/23/0006+0367,admin_fee,30.0,,unknown,administration fee,late payment fee,0,
