matched_registration_number,match_method,tribunal_property_factor,tribunal_registration_number,case_references,case_urls,application_complaints,hearing_date,outcome,outcome_type,pfeo_resolved,section_1_written_statement,section_2_communication,section_3_financial,section_4_debt,section_5_insurance,section_6_repairs,section_7_complaints,property_factor_duties,pdf_files,pdf_urls,upper_tribunal_decisions,upper_tribunal_urls
PF000108,registration_number,Newton Property Management Ltd,PF000108,FTS/HPC/PF/24/2727,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242727,,2025-08-29T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,REDACTED Property Factor Enforcement Order (PFEO) PF 24.2727.pdf | REDACTED Certificate of Compliance PF.24.2727.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF%2024.2727.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Certificate%20of%20Compliance%20PF.24.2727.pdf,Written Decision (Failure to Comply) (Proposed PFEO) PF.24.2727_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF.24.2727_Redacted.pdf,/sites/default/files/2025-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.24.2727_Redacted.pdf | /sites/default/files/2025-09/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF.24.2727_Redacted.pdf
PF000152,registration_number,River Clyde Homes,PF000152,FTS/HPC/PF/24/2710,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242710,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Carrying out repairs and maintenance(Section 6 of Code), Property Factor Duties",2025-07-15T12:00:00Z,Complied,positive,resolved,True,True,False,False,False,True,False,True,REDACTED Property Factor Enforcement Order (PFEO) (Proposed) (14.8.25) 2710.pdf | REDACTED Written Decision (Failure to Comply) (Proposed PFEO) (14.8.25) 2710.pdf | REDACTED Property Factor Enforcement Order (14.10.25) 2710.pdf | REDACTED Certificate of Compliance (22.12.25) 2710.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-09/REDACTED%20Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20%2814.8.25%29%202710.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-09/REDACTED%20Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20%2814.8.25%29%202710.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/REDACTED%20Property%20Factor%20Enforcement%20Order%20%2814.10.25%29%202710.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Certificate%20of%20Compliance%20%2822.12.25%29%202710.pdf,,
,unmatched,,Lowther Homes Limited (Property Factor),FTS/HPC/LM/23/2290,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm232290,,2025-08-13T12:00:00Z,PFEO Proposed,negative,pending,False,False,False,False,False,False,False,False,Proposed PFEO - 02.09.25 23.2290.pdf | written decision - 02.09.25 -  23.2290.pdf | Property Factor Enforcement Order (PFEO) LM.23.2290_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-09/Proposed%20PFEO%20-%2002.09.25%2023.2290.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-09/written%20decision%20-%2002.09.25%20-%20%2023.2290.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20LM.23.2290_Redacted.pdf,,
PF000103,manual_mapping,James Gibb Property Management,,FTS/HPC/PF/23/3590 | FTS/HPC/PF/24/1449,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233590-ftshpcpf241449 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf233590-ftshpcpf241449,,2025-12-09T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,"REDACTED Written Decision (Failure to Comply with Order (3.12.25) 3590, 1449 (1).pdf",https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Written%20Decision%20%28Failure%20to%20Comply%20with%20Order%20%283.12.25%29%203590%2C%201449%20%281%29.pdf,,
PF000153,exact_name,Charles White Limited,,FTS/HPC/PF/24/1078,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241078,Financial obligations (Section 3 of Code),2025-12-19T12:00:00Z,Unknown,neutral,,False,False,True,False,False,False,False,False,REDACTED Property Factor Enforcement Order 19.12.2025 1078.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-12/REDACTED%20Property%20Factor%20Enforcement%20Order%2019.12.2025%201078.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/23/4074 | FTS/HPC/PF/23/4075,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234074-ftshpcpf234075 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf234074-ftshpcpf234075,,2025-09-02T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF 23.4074 PF 23.4075_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 23.4074 PF 23.4075_Redacted.pdf | Written Decision (Failure to Comply) (No PFEO) PF 23.4074 & 4075_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF%2023.4074%20PF%2023.4075_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2023.4074%20PF%2023.4075_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Written%20Decision%20%28Failure%20to%20Comply%29%20%28No%20PFEO%29%20PF%2023.4074%20%26%204075_Redacted.pdf,,
PF000546,fuzzy_name (100%),James Gibb Residential Factors (Property Factor),,FTS/HPC/PF/24/1449 | FTS/HPC/PF/23/3590,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241449-ftshpcpf233590 | https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf241449-ftshpcpf233590,,2024-11-12T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,"Property Factor Enforcement Order (PFEO) (Proposed) PF.23.3590 & PF.23.1449.pdf | Written Decision (Failure to Comply) (Proposed PFEO) PF.23.3590 & PF 23.1449.pdf | Property Factor Enforcement Order (PFEO) 3590, 1449 Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2024-12/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF.23.3590%20%26%20PF.23.1449.pdf | https://housingandpropertychamber.scot/sites/default/files/2024-12/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.23.3590%20%26%20PF%2023.1449.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-02/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%203590%2C%201449%20Redacted.pdf,,
PF000108,registration_number,Newton Property Management,PF000108,FTS/HPC/PF/24/3014,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf243014,,2025-07-04T12:00:00Z,Complied,positive,resolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF 24.3014_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 24.3014_Redacted.pdf | Property Factor Enforcement Order (PFEO) PF.24.3014_Redacted.pdf | Certificate of Compliance PF.24.3014_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-09/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF%2024.3014_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-09/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2024.3014_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-10/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF.24.3014_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Certificate%20of%20Compliance%20PF.24.3014_Redacted_0.pdf,,
PF000103,registration_number,James Gibb Residential Factors,PF000103,FTS/HPC/PF/24/2108,https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpcpf242108,,2025-09-17T12:00:00Z,Failure to Comply,negative,unresolved,False,False,False,False,False,False,False,False,Written Decision (Failure to Comply) (Proposed PFEO) PF.24.2108_Redacted.pdf | Property Factor Enforcement Order (PFEO) (Proposed) PF 24.2108_Redacted.pdf | Property Factor Enforcement Order (PFEO) PF 24.2108_Redacted.pdf,https://housingandpropertychamber.scot/sites/default/files/2025-11/Written%20Decision%20%28Failure%20to%20Comply%29%20%28Proposed%20PFEO%29%20PF.24.2108_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-11/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20%28Proposed%29%20PF%2024.2108_Redacted.pdf | https://housingandpropertychamber.scot/sites/default/files/2025-12/Property%20Factor%20Enforcement%20Order%20%28PFEO%29%20PF%2024.2108_Redacted.pdf,,
PF000316,registration_number,Atholls Ltd,PF000316,"FTS/HPC/LM/24/4961, FTS/HPC/LM/24/4962",https://housingandpropertychamber.scot/apply-tribunal/property-factors/property-factors-decisions/ftshpclm244961-ftshpclm244962,"Written statement of services (Section 1 of Code), Communication and consultation (Section 2 of Code), Financial obligations (Section 3 of Code), Debt recovery (Section 4 of Code)",2025-11-28T12:00:00Z,Decision Issued,negative,,True,True,True,True,False,False,False,False,"Notice of Decision 26.11.2025 4961, 4962_Redacted.pdf",https://housingandpropertychamber.scot/sites/default/files/2025-12/Notice%20of%20Decision%2026.11.2025%204961%2C%204962_Redacted.pdf,,
